Cod_Alu;Facultad;Escuela;Periodo;Ciclo;Sexo;Edad;Modalidad Academica
ALU_04783;ADMINISTRACION;ADM. DE TURISMO Y DE NEG. INTERNACIONALE;2026-A;4;F;20;Pregrado
ALU_04753;ADMINISTRACION;ADM. DE TURISMO Y DE NEG. INTERNACIONALE;2026-A;4;F;22;Pregrado
ALU_01808;ADMINISTRACION;ADM. DE TURISMO Y DE NEG. INTERNACIONALE;2026-A;5;F;22;Pregrado
ALU_04764;ADMINISTRACION;ADM. DE TURISMO Y DE NEG. INTERNACIONALE;2026-A;4;M;22;Pregrado
ALU_07656;ADMINISTRACION;ADM. DE TURISMO Y DE NEG. INTERNACIONALE;2026-A;3;M;20;Pregrado
ALU_07678;ADMINISTRACION;ADM. DE TURISMO Y DE NEG. INTERNACIONALE;2026-A;3;F;21;Pregrado
ALU_07665;ADMINISTRACION;ADM. DE TURISMO Y DE NEG. INTERNACIONALE;2026-A;3;M;20;Pregrado
ALU_01804;ADMINISTRACION;ADM. DE TURISMO Y DE NEG. INTERNACIONALE;2026-A;5;F;23;Pregrado
ALU_07667;ADMINISTRACION;ADM. DE TURISMO Y DE NEG. INTERNACIONALE;2026-A;3;M;21;Pregrado
ALU_01801;ADMINISTRACION;ADM. DE TURISMO Y DE NEG. INTERNACIONALE;2026-A;5;M;32;Pregrado
ALU_04755;ADMINISTRACION;ADM. DE TURISMO Y DE NEG. INTERNACIONALE;2026-A;4;F;20;Pregrado
ALU_01797;ADMINISTRACION;ADM. DE TURISMO Y DE NEG. INTERNACIONALE;2026-A;5;F;24;Pregrado
ALU_02967;ADMINISTRACION;ADM. DE TURISMO Y DE NEG. INTERNACIONALE;2026-A;5;M;23;Pregrado
ALU_02990;ADMINISTRACION;ADM. DE TURISMO Y DE NEG. INTERNACIONALE;2026-A;5;M;22;Pregrado
ALU_07444;ADMINISTRACION;ADM. DE TURISMO Y DE NEG. INTERNACIONALE;2026-A;4;M;21;Pregrado
ALU_11319;ADMINISTRACION;ADM. DE TURISMO Y DE NEG. INTERNACIONALE;2026-A;2;M;20;Pregrado
ALU_04775;ADMINISTRACION;ADM. DE TURISMO Y DE NEG. INTERNACIONALE;2026-A;4;M;23;Pregrado
ALU_04761;ADMINISTRACION;ADM. DE TURISMO Y DE NEG. INTERNACIONALE;2026-A;4;F;24;Pregrado
ALU_07669;ADMINISTRACION;ADM. DE TURISMO Y DE NEG. INTERNACIONALE;2026-A;3;F;20;Pregrado
ALU_10777;ADMINISTRACION;ADM. DE TURISMO Y DE NEG. INTERNACIONALE;2026-A;3;M;21;Pregrado
ALU_11317;ADMINISTRACION;ADM. DE TURISMO Y DE NEG. INTERNACIONALE;2026-A;2;F;19;Pregrado
ALU_04759;ADMINISTRACION;ADM. DE TURISMO Y DE NEG. INTERNACIONALE;2026-A;4;M;22;Pregrado
ALU_02966;ADMINISTRACION;ADM. DE TURISMO Y DE NEG. INTERNACIONALE;2026-A;5;F;22;Pregrado
ALU_01805;ADMINISTRACION;ADM. DE TURISMO Y DE NEG. INTERNACIONALE;2026-A;5;F;28;Pregrado
ALU_02969;ADMINISTRACION;ADM. DE TURISMO Y DE NEG. INTERNACIONALE;2026-A;5;F;23;Pregrado
